department,course_number_1,course_title,faculty,course_ei,credit_hours,qca,number,As,Bs,Cs,Ds,Fs,Textbox10
MATH,2214,Intro Diff Equations,Jin,62120,3,2.19,19,21.1,26.3,26.3,5.3,21.1,4
MATH,1114,Elementary Linear Algebra,England,61489,2,3.21,45,53.3,26.7,8.9,8.9,2.2,0
MATH,1015,Elem Calc w/Trig I,Chaabane,60973,3,3.05,29,44.8,37.9,6.9,3.4,6.9,0
MATH,1016,Elem Calc w/Trig I,Swirydowicz,60974,3,1.93,22,9.1,22.7,27.3,27.3,13.6,2
MATH,1205,Calculus,Dickson,60975,3,2.55,24,37.5,25.0,12.5,8.3,16.7,1
MATH,1206,Calculus,Chang,60977,3,2.72,23,30.4,26.1,34.8,0.0,8.7,0
MATH,1206,Calculus,Wilkerson,60978,3,3.03,14,42.9,35.7,7.1,14.3,0.0,0
MATH,1224,Vector Geometry,Plaxco,60979,2,3.07,27,48.1,29.6,14.8,3.7,3.7,0
MATH,1526,Elem Calc w/Matrices,McQuain,60981,3,3.03,39,35.9,33.3,30.8,0.0,0.0,1
MATH,2214,Intro Diff Equations,Hagen,60982,3,2.79,27,33.3,29.6,22.2,11.1,3.7,0
MATH,2214,Intro Diff Equations,Hagen,60983,3,2.81,39,35.9,33.3,15.4,5.1,10.3,1
MATH,2224,Multivariable Calculus,Van Wyk,60984,3,2.31,34,20.6,23.5,35.3,14.7,5.9,0
MATH,2224,Multivariable Calculus,Agud,60985,3,2.36,32,15.6,40.6,21.9,9.4,12.5,2
MATH,2534,Intro Discrete Math,Farlow,60986,3,2.72,30,43.3,16.7,23.3,6.7,10.0,1
MATH,3224,Advanced Calculus,Rogers,60990,3,2.69,19,21.1,57.9,0.0,15.8,5.3,0
MATH,4445,Intro to Numer Analysis,Adjerid,60991,3,2.44,14,14.3,28.6,35.7,21.4,0.0,0
MATH,4564,Operational Methods,Kohler,60992,3,2.23,32,18.8,37.5,15.6,9.4,18.8,0
MATH,4574,Vector/Complex Analysis,Prather,60993,3,3.84,25,84.0,16.0,0.0,0.0,0.0,0
ME,3304,Heat and Mass Transfer,Hubble,61001,3,2.70,43,30.2,27.9,25.6,14.0,2.3,0
ME,3514,System Dynamics,Guo,61002,3,3.28,21,47.6,42.9,4.8,4.8,0.0,0
MGT,3304,Mgt Th & Lead Pract,Cortes,61043,3,3.39,37,62.2,29.7,2.7,2.7,2.7,0
MGT,3324,Organization Behavior,Kunkel,61044,3,3.16,15,40.0,53.3,0.0,0.0,6.7,0
MGT,3334,Intro Human Resource Mgt,Bremner,61045,3,2.89,14,50.0,21.4,14.3,0.0,14.3,0
MGT,4334,Ethical Leadership,Borny,61048,3,2.96,28,21.4,57.1,17.9,3.6,0.0,0
MGT,4394,Business Policy and Strategy,Zhao,61049,3,3.31,11,36.4,63.6,0.0,0.0,0.0,0
MGT,4394,Business Policy and Strategy,Cortes,61050,3,3.06,30,23.3,60.0,16.7,0.0,0.0,0
MGT,4394,Business Policy and Strategy,Magnini,61051,3,3.41,20,35.0,65.0,0.0,0.0,0.0,0
MGT,5804,Leader Tech-Based Org,Thornblad,61490,3,3.24,17,41.2,52.9,0.0,0.0,5.9,0
MGT,5804,Leader Tech-Based Org,Thornblad,61491,3,3.48,19,57.9,36.8,5.3,0.0,0.0,0
MGT,5674,Change Management,Markham,61794,2,3.82,18,88.9,11.1,0.0,0.0,0.0,0
MKTG,3104,Marketing Management,Evans,61492,3,3.71,41,78.0,14.6,7.3,0.0,0.0,0
MKTG,3104,Marketing Management,Pierce,61493,3,3.32,40,52.5,35.0,7.5,2.5,2.5,0
MKTG,4644,"Mktg, Soc, & Pub Interests",Moscato,61072,3,3.57,10,60.0,40.0,0.0,0.0,0.0,0
MSE,2034,Elem of Materials Eng,Corcoran,61081,3,2.53,26,30.8,30.8,3.8,34.6,0.0,0
MUS,1104,Music Appreciation,Cole,61494,3,3.16,276,44.2,40.2,11.2,2.9,1.4,2
PAPA,6214,Public Policy Process,Offenbacker,61699,3,3.95,14,92.9,7.1,0.0,0.0,0.0,0
PHIL,1204,Knowledge and Reality,Patton,61500,3,3.18,26,38.5,50.0,3.8,3.8,3.8,1
PHIL,1504,Language and Logic,Estrera,61501,3,2.47,26,30.8,19.2,23.1,23.1,3.8,0
PHIL,2304,Global Ethics,Hodges,61502,3,3.80,25,92.0,4.0,4.0,0.0,0.0,0
PHIL,1304,Morality and Justice,Hupfer,61113,3,3.83,14,78.6,21.4,0.0,0.0,0.0,0
PHS,1514,Personal Health,Smith,62017,3,3.89,47,93.6,2.1,4.3,0.0,0.0,0
PHS,3534,Drug Education,Smith,62018,3,3.96,47,95.7,4.3,0.0,0.0,0.0,0
PHS,5004,Fundamentals Public Health,Redican,62019,3,4.00,17,100.0,0.0,0.0,0.0,0.0,0
PHS,5044,Public Health Administration,Redican,62020,3,4.00,22,100.0,0.0,0.0,0.0,0.0,0
PHYS,2205,General Physics,Halpin,61119,3,3.40,56,51.8,39.3,8.9,0.0,0.0,1
PHYS,2206,General Physics,Joyce,61120,3,3.61,22,72.7,22.7,4.5,0.0,0.0,0
