department,course_number_1,course_title,faculty,course_ei,credit_hours,qca,number,As,Bs,Cs,Ds,Fs,Textbox10
PSCI,4754,Internship Program,Rich,70985,3,3.66,10,80.0,20.0,0.0,0.0,0.0,0
PSCI,1024,Comp Gov & Politics,Surak,71533,3,3.69,21,81.0,9.5,9.5,0.0,0.0,0
PSCI,3364,Con Law Civil and Pol Rights,Via,71534,3,2.96,15,40.0,40.0,6.7,6.7,6.7,0
PSYC,2034,Developmental Psychology,Frey,70992,3,3.11,13,38.5,46.2,7.7,7.7,0.0,0
PSYC,2044,Psychology of Learning,Hoffman,70993,3,3.07,22,40.9,36.4,18.2,4.5,0.0,0
PSYC,2054,Psychology of Personality,Law,70994,3,2.87,15,26.7,40.0,33.3,0.0,0.0,0
PSYC,2084,Social Psychology,Perez-Rivera,70995,3,3.61,12,75.0,8.3,16.7,0.0,0.0,0
PSYC,3014,Abnormal Psychology,Goel,70999,3,3.48,10,70.0,20.0,10.0,0.0,0.0,0
PSYC,4034,Adv Dev Psyc,Martin,71000,3,2.74,22,31.8,40.9,18.2,0.0,9.1,0
PSYC,4114,Cognitive Psychology,Cox,71001,3,2.44,25,20.0,32.0,32.0,8.0,8.0,1
PSYC,4214,Cognitive Psyc Lab,Cox,71002,1,2.92,18,50.0,16.7,16.7,5.6,11.1,1
PSYC,4234,Develop Psyc Lab,Martin,71003,1,3.65,17,70.6,29.4,0.0,0.0,0.0,0
PSYC,4354,TS:Transpersonal Psychology,Germana,71004,3,2.96,15,26.7,46.7,26.7,0.0,0.0,0
SOC,2404,Deviant Behavior,Ratliff,71013,3,2.81,18,27.8,44.4,16.7,11.1,0.0,0
SOC,1004,Introductory Sociology,McLeese,71268,3,3.82,18,83.3,16.7,0.0,0.0,0.0,0
SOC,2004,Social Org Problems,Walter,71269,3,2.72,10,30.0,50.0,0.0,20.0,0.0,0
SOC,3414,Criminology,Agnich,71270,3,3.95,32,96.9,0.0,3.1,0.0,0.0,1
SOC,1004,Introductory Sociology,Sorensen,71604,3,3.72,46,78.3,13.0,8.7,0.0,0.0,0
SPAN,4104,Advanced Grammar and Style,Calvera,71589,3,3.70,10,70.0,30.0,0.0,0.0,0.0,0
SPAN,1106,Elementary Spanish,Lopez-Romero,71516,3,3.23,18,55.6,22.2,22.2,0.0,0.0,0
STAT,3615,Biological Statistics,Lemons,71273,3,3.40,21,61.9,28.6,0.0,0.0,9.5,0
STAT,3704,Stat for Eng Apps,Roberts,71274,2,2.10,10,20.0,20.0,30.0,10.0,20.0,1
STAT,2004,Introductory Statistics,Cheng,71036,3,2.95,16,37.5,31.3,18.8,6.3,6.3,0
STAT,3604,Stat Social Sciences,Bedair,71038,3,3.40,22,36.4,59.1,4.5,0.0,0.0,0
STAT,5674,Methods in Biostatistics,Holtzman,71601,3,3.82,11,81.8,18.2,0.0,0.0,0.0,0
TA,2014,Introduction to Theatre,Johnson,71052,3,3.62,24,70.8,25.0,4.2,0.0,0.0,0
TA,2024,Introduction to Acting,Johnson,71053,3,3.87,18,88.9,11.1,0.0,0.0,0.0,0
WS,1824,Intro Women's & Gender Studies,Katz,71275,3,3.59,19,68.4,31.6,0.0,0.0,0.0,0

